sample_id	source_path	n_tr_calls	n_unique_tr_sites	n_unique_tr_subtypes	median_change_size_bp	max_change_size_bp	median_alt_support_reads	n_group_a_only	n_group_b_only
SMHT005-3AM-001C4-M59-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT005-3AM-001C4-M59-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT005-3AM-001D1-M59-B001-broad	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT005-3AM-001D1-M59-B001-broad/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT007-3AL-001A3-M67-B001-broad	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT007-3AL-001A3-M67-B001-broad/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT018-3AM-001B3-F89-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT018-3AM-001B3-F89-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT020-3AM-003C1-M81-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT020-3AM-003C1-M81-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT022-3AK-001A2-M63-B001-broad	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT022-3AK-001A2-M63-B001-broad/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT023-3AK-002B1-M57-D001-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT023-3AK-002B1-M57-D001-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT023-3AL-001B2-M57-D001-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT023-3AL-001B2-M57-D001-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT023-3AM-001B2-M57-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT023-3AM-001B2-M57-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT024-3AL-001B4-M65-D001-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT024-3AL-001B4-M65-D001-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT024-3AM-002B4-M65-D001-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT024-3AM-002B4-M65-D001-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT024-3AN-001B1-M65-B001-broad	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT024-3AN-001B1-M65-B001-broad/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT027-3AN-001A2-F67-B001-broad	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT027-3AN-001A2-F67-B001-broad/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT040-3AM-001C3-F89-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT040-3AM-001C3-F89-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
