sample_id	source_path	n_tr_calls	n_unique_tr_sites	n_unique_tr_subtypes	median_change_size_bp	max_change_size_bp	median_alt_support_reads	n_group_a_only	n_group_b_only
SMHT022-3AK-001C3-M63-D001-nygc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT022-3AK-001C3-M63-D001-nygc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	410.0	922.0	5.0	2	1
SMHT022-3AM-001C4-M63-D001-nygc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT022-3AM-001C4-M63-D001-nygc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	515.0	817.0	5.0	1	2
SMHT023-3AM-001A3-M57-D001-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT023-3AM-001A3-M57-D001-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	319.0	6800.0	3.0	1	2
SMHT023-3AN-001A3-M57-D001-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT023-3AN-001A3-M57-D001-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	2065.0	6802.0	3.0	0	3
SMHT023-3AN-001MC-M57-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT023-3AN-001MC-M57-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	343.0	954.0	3.0	1	2
SMHT024-3AM-002B1-M65-B001-broad	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT024-3AM-002B1-M65-B001-broad/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	1262.0	1571.0	6.0	2	1
SMHT031-3AL-001MC-M65-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT031-3AL-001MC-M65-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	333.0	613.0	7.0	1	2
SMHT031-3AN-001A2-M65-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT031-3AN-001A2-M65-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	2252.0	7747.0	4.0	0	3
SMHT039-3AN-002C1-M74-B001-washu	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT039-3AN-002C1-M74-B001-washu/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	99.0	1578.0	10.0	1	2
SMHT039-3AO-002A2-M74-D001-nygc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT039-3AO-002A2-M74-D001-nygc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	431.0	1821.0	3.0	0	3
SMHT040-3AL-001C3-F89-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT040-3AL-001C3-F89-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	279.0	1329.0	8.0	2	1
